,ccg,month,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year
1143,02H,Apr,326.63969147660976,286.83787242033713,261.2845950275305,207.52923260007705,2858.6957185517213,3276.123185529425,449.4085273026728,32.7506,92.7,102.9,97.4,2019
1144,02H,May,331.2256293077004,287.3821973854516,263.6845915456703,207.84425804978105,3200.5215171630443,3608.91098178354,379.3518286687878,32.7506,92.7,102.9,97.4,2019
1145,02H,Jun,317.4853119740217,265.25149951807805,264.53018617382315,214.65461086377695,3159.7894389721105,3563.659902414002,376.14578053531847,32.7506,92.7,102.9,97.4,2019
1146,02H,Jul,322.04986561005416,257.6387260774038,277.67420855555235,231.56857596268767,3494.012323438349,3938.09579061147,395.1377990021557,32.7506,92.7,102.9,97.4,2019
1147,02H,Aug,324.52848821905826,265.55282226662365,267.70945617280967,221.3903523870535,3052.371559605015,3450.2879336561773,374.8328274901834,32.7506,92.7,102.9,97.4,2019
1148,02H,Sep,310.4207515339272,244.72461628005988,261.819309277686,216.46600719957505,3630.3457035901633,4089.024323218506,373.4282730698064,32.7506,92.7,102.9,97.4,2019
1149,02H,Oct,333.85977333530843,254.7149234076454,279.1208385811668,233.4483659816452,4138.611201016165,4673.380029678846,376.481652244539,32.7506,92.7,102.9,97.4,2019
1150,02H,Nov,391.94702318396673,275.36233574508185,291.4171937988898,246.5136320009484,3678.4669593839503,4128.870921448767,375.22976678289865,32.7506,92.7,102.9,97.4,2019
1151,02H,Dec,437.9599788957436,313.30372983130206,304.08246039850303,255.0234642146633,3133.7746484033883,3537.8588483875105,371.90158348244006,32.7506,92.7,102.9,97.4,2019
1152,02P,Jan,344.78927610364553,301.60645835026924,194.23500690388963,137.47193581834892,4635.057773747156,5253.038486141589,358.7883302698808,24.6998,94.6,101.4,98.4,2019
1153,02P,Feb,301.5731077162946,263.4283201077226,175.62220115505275,124.7965328798827,4217.483542376862,4699.309306148228,318.8689786961838,24.6998,94.6,101.4,98.4,2019
1154,02P,Mar,320.64133269133373,290.592411480122,187.7407922653356,133.41990362827818,4414.813075409517,4909.108575777942,348.66679082421723,24.6998,94.6,101.4,98.4,2019
1155,02P,Apr,296.8394021065095,274.77170448837006,199.6401206868,132.9063673307826,4215.33777601438,4727.730588911652,353.28221281143976,24.6998,94.6,101.4,98.4,2019
1156,02P,May,295.4053248455971,272.4559198417513,204.2965677888108,134.6402735936751,4238.779261370538,4751.8198527923305,349.2335970331744,24.6998,94.6,101.4,98.4,2019
1157,02P,Jun,274.48822409958507,250.6612805392798,200.0339280160593,131.58934868018287,4074.8912946663536,4531.858557559171,340.4481007943384,24.6998,94.6,101.4,98.4,2019
1158,02P,Jul,283.7492782714367,252.7623704796864,215.5236829669242,146.03760585916064,4666.920379922105,5186.56021506247,371.58195612919945,24.6998,94.6,101.4,98.4,2019
1159,02P,Aug,281.0082730416404,253.09379240481005,205.04956202277907,136.8819460833048,4001.77329371088,4465.015911060009,352.9988097069612,24.6998,94.6,101.4,98.4,2019
1160,02P,Sep,263.9369172758369,240.86870063845623,202.1169235598336,136.17655493309314,4550.60364861254,5087.045239232706,340.9744208455129,24.6998,94.6,101.4,98.4,2019
1161,02P,Oct,286.45484845263485,254.6800319332321,217.85046400024004,145.9640374569913,5254.536473979547,5856.565640207613,360.164859634491,24.6998,94.6,101.4,98.4,2019
1162,02P,Nov,326.9842063903984,276.37461933377944,222.8242649939616,136.930991684751,4581.980420894096,5133.8877237872375,363.28229378375534,24.6998,94.6,101.4,98.4,2019
1163,02P,Dec,365.4145588023789,334.34635884031513,237.73268531592,139.02408485235253,4088.9399914169344,4575.664580280002,372.5536239159831,24.6998,94.6,101.4,98.4,2019
1164,02X,Jan,344.7892761036455,301.60645835026924,194.23500690388968,137.47193581834895,4734.17016056449,5298.660200953842,478.77877461076,31.2211,90.2,97.5,95.1,2019
1165,02X,Feb,301.5731077162946,263.4283201077226,175.62220115505278,124.7965328798827,4256.160096857574,4712.486107151894,428.7805362399147,31.2211,90.2,97.5,95.1,2019
1166,02X,Mar,320.6413326913336,290.592411480122,187.7407922653356,133.4199036282782,4350.006886368514,4819.336922786193,482.59029950898594,31.2211,90.2,97.5,95.1,2019
1167,02X,Apr,296.8394021065095,274.77170448837006,199.6401206868,132.9063673307826,4105.492759704174,4581.196690699559,484.7683137365436,31.2211,90.2,97.5,95.1,2019
1168,02X,May,295.405324845597,272.45591984175127,204.2965677888108,134.6402735936751,4212.631841927415,4700.539058521321,499.9183244664666,31.2211,90.2,97.5,95.1,2019
1169,02X,Jun,274.48822409958507,250.66128053927977,200.0339280160593,131.5893486801829,3966.740441560355,4406.0587231071295,491.65468225014496,31.2211,90.2,97.5,95.1,2019
1170,02X,Jul,283.74927827143665,252.76237047968635,215.52368296692424,146.03760585916066,4544.458715420021,5029.675443850473,540.6279727491984,31.2211,90.2,97.5,95.1,2019
